datestart datestop duration tstart tstop label mag_start mag_stop
2003:351:22:30:00.000 2003:352:01:30:00.000 10800.000 188087464.184 188098264.184 "instrument notify" -2.0 0.0
2003:352:01:30:00.000 2003:352:02:30:00.000 3600.000 188098264.184 188101864.184 "no action" 0.0 40.0
2003:352:02:30:00.000 2003:352:18:30:00.000 57600.000 188101864.184 188159464.184 "instrument notify" -2.0 0.0
2003:352:18:30:00.000 2003:352:23:30:00.000 18000.000 188159464.184 188177464.184 "no action" 0.0 40.0
2003:352:23:30:00.000 2003:353:00:30:00.000 3600.000 188177464.184 188181064.184 "instrument notify" -2.0 0.0
2003:353:00:30:00.000 2003:353:04:30:00.000 14400.000 188181064.184 188195464.184 "no action" 0.0 40.0
2003:353:04:30:00.000 2003:353:18:30:00.000 50400.000 188195464.184 188245864.184 "instrument notify" -2.0 0.0
2003:353:18:30:00.000 2003:354:06:30:00.000 43200.000 188245864.184 188289064.184 "no action" 0.0 40.0
2003:354:06:30:00.000 2003:354:17:30:00.000 39600.000 188289064.184 188328664.184 "instrument notify" -2.0 0.0
2003:354:17:30:00.000 2003:355:08:30:00.000 54000.000 188328664.184 188382664.184 "no action" 0.0 40.0
2003:355:08:30:00.000 2003:355:17:30:00.000 32400.000 188382664.184 188415064.184 "instrument notify" -2.0 0.0
2003:355:17:30:00.000 2003:356:10:30:00.000 61200.000 188415064.184 188476264.184 "no action" 0.0 40.0
2003:356:10:30:00.000 2003:356:15:30:00.000 18000.000 188476264.184 188494264.184 "instrument notify" -2.0 0.0
2003:356:15:30:00.000 2003:357:12:30:00.000 75600.000 188494264.184 188569864.184 "no action" 0.0 40.0
2003:357:12:30:00.000 2003:357:13:30:00.000 3600.000 188569864.184 188573464.184 "instrument notify" -2.0 0.0
2003:357:13:30:00.000 2005:164:23:30:00.000 46519200.000 188573464.184 235092664.184 "no action" 0.0 40.0
2005:164:23:30:00.000 2005:165:01:30:00.000 7200.000 235092664.184 235099864.184 "instrument notify" -2.0 0.0
2005:165:01:30:00.000 2005:165:23:30:00.000 79200.000 235099864.184 235179064.184 "no action" 0.0 40.0
2005:165:23:30:00.000 2005:166:05:30:00.000 21600.000 235179064.184 235200664.184 "instrument notify" -2.0 0.0
2005:166:05:30:00.000 2005:166:06:30:00.000 3600.000 235200664.184 235204264.184 "no action" 0.0 40.0
2005:166:06:30:00.000 2005:166:07:30:00.000 3600.000 235204264.184 235207864.184 "instrument notify" -2.0 0.0
2005:166:07:30:00.000 2005:166:23:30:00.000 57600.000 235207864.184 235265464.184 "no action" 0.0 40.0
2005:166:23:30:00.000 2005:167:08:30:00.000 32400.000 235265464.184 235297864.184 "instrument notify" -2.0 0.0
2005:167:08:30:00.000 2005:167:22:30:00.000 50400.000 235297864.184 235348264.184 "no action" 0.0 40.0
2005:167:22:30:00.000 2005:168:09:30:00.000 39600.000 235348264.184 235387864.184 "instrument notify" -2.0 0.0
2005:168:09:30:00.000 2005:168:22:30:00.000 46800.000 235387864.184 235434664.184 "no action" 0.0 40.0
2005:168:22:30:00.000 2005:169:11:30:00.000 46800.000 235434664.184 235481464.184 "instrument notify" -2.0 0.0
2005:169:11:30:00.000 2005:169:22:30:00.000 39600.000 235481464.184 235521064.184 "no action" 0.0 40.0
2005:169:22:30:00.000 2005:170:13:30:00.000 54000.000 235521064.184 235575064.184 "instrument notify" -2.0 0.0
2005:170:13:30:00.000 2005:170:17:30:00.000 14400.000 235575064.184 235589464.184 "no action" 0.0 40.0
2005:170:17:30:00.000 2005:170:19:30:00.000 7200.000 235589464.184 235596664.184 "instrument notify" -2.0 0.0
2005:170:19:30:00.000 2005:170:22:30:00.000 10800.000 235596664.184 235607464.184 "no action" 0.0 40.0
